,Institution Names,City,State,Score,Rank
13071,gautam budhha mahila degree college,,,,
13072,smt. dhairya prabhadevi sojatia women's college,,,,
13073,mes dental college,,,,
13074,y.n.p.degree college,,,,
13075,rudragouda patil govt first grade college,,,,
13076,shri ramkrishna institute of computer education & applied sciences,,,,
13077,mariamman college of education,,,,
13078,adarsa degree college for women,,,,
13079,s.s.p.p.d. mahavidyalaya,,,,
13080,columbia college of pharmacy raipur,,,,
13081,ratnagiri education societys shriman bhagojisheth keer law college late sou indirabai vishnupant kulkarni,,,,
13082,sriji degree college,,,,
13083,pragya mahila mahavidyalaya,,,,
13084,srinath physiotherapy college,,,,
13085,hindustan college of engineering,,,,
13086,nagaur mahavidyalaya,,,,
13087,vidhyabharti college of advance studies,,,,
13088,dera natung government college,,,,
13089,kurukshetra college of education,,,,
13090,c.s. college of education,,,,
13091,jai ustad ganj akhada physical education college,,,,
13092,shri pustikar shri purohit surajraj roopadevi smriti mahila mahavidyalaya,,,,
13093,maharshi vishwamitra mahavidyalaya,,,,
13094,maharaja agrasen girls degree college,,,,
13095,capital computer institute,,,,
13096,domdama college,,,,
13097,sita ramaiah college of nursing,,,,
13098,university college of applied life sciences,,,,
13099,sharda adhyapan mandir b.ed. college,,,,
13100,smt. narayan devi girls tt college,,,,
13101,ram dev shikshak prashikshan mahavidyalaya,,,,
13102,pankajakasthuri ayurveda medical college,,,,
13103,al-ameen college of law,,,,
13104,chhattisgarh institute of technology rajnandgaon,,,,
13105,dr. bra law college,,,,
13106,global business school,,,,
13107,srivenkateshwara degree college,,,,
13108,jabalpur institute of paramedical technology,,,,
13109,siddhartha medical college,,,,
13110,mesco college of pharmacy,,,,
13111,visakha law college,,,,
13112,adhiparasakthi college of nursing,,,,
13113,ellenki degree college,,,,
13114,s.n. degree college,,,,
13115,lucknow campus,,,,
13116,radha krishan kanya mahavidhyalya sikandra agra,,,,
13117,govt. degree college khan shaib budgam,,,,
13118,chaitany welfare charitable trust s bhakti vedant hospitals institute of nursing,,,,
13119,tsr & tbk women's degree college,,,,
13120,oasis arts & commerce college,,,,
13121,j.v.m. girls college,,,,
13122,smt. n.d.v. women physical education college,,,,
13123,marian academy of management studies,,,,
13124,sengamala thayaar educational trust women's college,,,,
13125,central institute of road transport,,,,
13126,vimla ramashankar mahavidyalaya,,,,
13127,zubaida womens arts college,,,,
13128,all india shivaji memorial societys college of pharmacy,,,,
13129,national institute of science education and research,,,,
13130,sri modamamba degree college,,,,
13131,khalsa education society,,,,
13132,mit arts,,,,
13133,maryada devi kanya degree college,,,,
13134,sri durgeswara mahila sanskrit andhra,,,,
13135,govt. girls degree college,,,,
13136,shri vidyadharm sanjeevani sanskrit mahavidyalaya,,,,
13137,jdmvp co-op s's arts,,,,
13138,sri dukharan singh degree college,,,,
13139,s.m.r. arts & commerce college,,,,
13140,harish chandra research institute,,,,
13141,sambhram college of hotel management,,,,
13142,shri kalmeshwar arts college,,,,
13143,om buddheshwar mahavidyalaya,,,,
13144,shri santkrupa institute of education,,,,
13145,late shankarrao patil bhoyar,,,,
13146,jhambaba mahavidyalaya,,,,
13147,regional institute of e-learning & information technology,,,,
13148,sri akilandeshwari women's college,,,,
13149,grant medical college,,,,
13150,darul uloom college of teacher education,,,,
13151,maharshi dayanand mahila mahavi.,,,,
13152,shri todarmal pg mahavi.,,,,
13153,swift college,,,,
13154,balmukand bazari college of education artoni,,,,
13155,kulti college,,,,
13156,tarkesh & niranjana sureshbhai patel commerce college,,,,
13157,city law college,,,,
13158,gurudatta shikshan sansthas college of pharmacy,,,,
13159,academy of business and engg. sciences,,,,
13160,jijamata shikshan sansthas college of pharmacy,,,,
13161,maharani shivangi college of nursing & science research institute,,,,
13162,rohit memorial mahavidyalaya,,,,
13163,ravindras rayalaseema college,,,,
13164,karpaga vinayaga college of engineering and technology,,,,
13165,ramabai rajkiya mahila mahavidyalaya,,,,
13166,rashoba college of education,,,,
13167,tilak college - rampura,,,,
13168,cherraan s college of nursing,,,,
13169,global hospitals and health city,,,,
13170,kuchaman college of education,,,,
13171,sri muthukumaran arts and science college,,,,
13172,ayush and health science university of chattisgarh,,,,
13173,saini institute of girls education,,,,
13174,chauson education college,,,,
13175,radha college of library and information science,,,,
13176,national centre for experimental mineralogy and petrology,,,,
13177,sindhi college of arts and science,,,,
13178,luipa mahaavidyalaya,,,,
13179,bharata mata school of legal studies,,,,
13180,a.m.college,,,,
13181,mata jeetoji girls college,,,,
13182,bishambher sahay b.ed. institute,,,,
13183,554 s sagarawal institute of computer science,,,,
13184,st. marys college of nursing,,,,
13185,st. philomena college,,,,
13186,sri sai vignan bharathi degree college for women,,,,
13187,city women college of engineering & technology,,,,
13188,allama iqbal unani medical college,,,,
13189,icci computer academy bhopal,,,,
13190,mahatma gandhi institute for computer science & technology jabalpur,,,,
13191,venkateswara nursing college,,,,
13192,tapasvi ramrao maharaj arts college,,,,
13193,dips institute of management & technology,,,,
13194,shri vishwanath sanskrit mahavidyalaya,,,,
13195,g.b.m.college,,,,
13196,maharishi dayanand mahavidhalaya,,,,
13197,dr. sharma prasad mukherjee college of physical education,,,,
13198,ash edu trust bed college vijapur,,,,
13199,aruna vidya arts & science college,,,,
13200,government ayurveda medical college and hospital,,,,
13201,frank college of nursing,,,,
13202,shivani engineering college,,,,
13203,triveni degree college,,,,
13204,j.m.s. college of education,,,,
13205,mahatma education societyspillais institute of anagement studies and research composite college,,,,
13206,uma shiv t t college basant vihar,,,,
13207,maharaja college of arts & education,,,,
13208,giani kartar singh memorial govt. college,,,,
13209,s.g.k govt. degree college,,,,
13210,r m k college of engineering and technology,,,,
13211,pcm sd college for women jalandhar,,,,
13212,government girls polytechnic,,,,
13213,gurukul arts commerce science college,,,,
13214,gear school of graduate studies,,,,
13215,p.d.r. vellachiammal college of education,,,,
13216,prithaviraj chauhan mahavidyalaya,,,,
13217,govt. chartshal maharaja p.g. coll.,,,,
13218,sbn degree college,,,,
13219,st. marys institute of nursing,,,,
13220,bansh bahadur pal mahavidyalay,,,,
13221,girija prasad dwivedi mahavidyalaya,,,,
13222,kanaka college of mgmt studies and science,,,,
13223,maharashtra education society's garware college of commerce,,,,
13224,sericulture college,,,,
13225,atreya ayurvedic medical college,,,,
13226,chaudhari m.ed. college,,,,
13227,bokaro mahila mahavidyalaya,,,,
13228,vaugh school of agricultural engineering & technology,,,,
13229,lotus institute of management,,,,
13230,swami vivekanad shikshan sansthan mahavidyalaya,,,,
13231,d e societys kirti m doongursee college of arts science & commerce,,,,
13232,pearl t.t. college,,,,
13233,udit narayan snatakottar mahavidyalay,,,,
13234,national institute of ophthalmology,,,,
13235,rajasthan shikshaka prashikshana mahavidyalaya,,,,
13236,govt. mahatma gandhi college,,,,
13237,kingston p.g. college,,,,
13238,mahatma gandhi professional college of nursing,,,,
13239,k s r college of engineering,,,,
13240,indo american institute,,,,
13241,sri venkateswara college of pharmacy,,,,
13242,b268 govt first grade degree college,,,,
13243,thejus engineering college,,,,
13244,bless college of nursing,,,,
13245,b.n. college,,,,
13246,lal bahadur memorial mahila college,,,,
13247,sri radha madhav mahavidhyalaya,,,,
13248,hyderabad school of management,,,,
13249,jdt islam arts & science college,,,,
13250,padmashree dr. d. y. patil college of physiotherapy,,,,
13251,medwin college of nursing,,,,
13252,savitribai phule mahila shikshanshastra mahavidyalaya,,,,
13253,naharkatiya college. naharkatiya,,,,
13254,s.m.kst.college,,,,
13255,gautham college of pharmacy,,,,
13256,poddar mgt. tranning institute,,,,
13257,siddhi vinayak engineering & management college,,,,
13258,ramkrishna memorial college,,,,
13259,international institute of management science,,,,
13260,mvas shree k.g.nadgir college of phy.education dharwad,,,,
13261,r.n.t. college of teachers education,,,,
13262,apeejay saraswati college for girls,,,,
13263,a.d.v.s. arts & commerce first grade college,,,,
13264,annai vailankanni college of engineering,,,,
13265,rajasthan tt college.,,,,
13266,sankat mochan uchcha shiksha evam takaniki mahavidyalaya varanasi,,,,
13267,radha degree college,,,,
13268,p.t.m. arya college,,,,
13269,shri govindram seksariainstitute of management & research,,,,
13270,trp engineering college,,,,
13271,gurdasidevi institute of management & technology,,,,
13272,govt. v.a.bai girls coll. tikamgarh,,,,
13273,prabhanani institute of education,,,,
13274,choudhary matu ram college of education,,,,
13275,a.j. college of physiotherapy,,,,
13276,baidyanath pandey arya sanskrit college,,,,
13277,st. soldier institute of hotel mangement and catering technology,,,,
13278,t.k.m.college of arts and science,,,,
13279,srimanmadhwa sidhhanta prabodhini samskrita college,,,,
13280,sacred heart college,,,,
13281,ppg college of education,,,,
13282,sspm's college of education,,,,
13283,anjuman arts,,,,
13284,devaswom board college,,,,
13285,vidyasagar institute of education technology and research 245,,,,
13286,sunder sanskit tt college,,,,
13287,s.t.hindu college of education,,,,
13288,rajasthan ayurveda university,,,,
13289,sadanand college,,,,
13290,govt. rajeev lochan college,,,,
13291,s.s.p.m.mumbais shri swami samarth college of education,,,,
13292,s. i. n. p. s. janki kund chitrakut,,,,
13293,teabyte b.ed. traning college,,,,
13294,k.l.e society s. nijalingappa college,,,,
13295,sri srinivasa institute of management,,,,
13296,divya kripal mahavidyalaya,,,,
13297,n.b.r. degree college,,,,
13298,green field college ilasiya grant ramkot,,,,
13299,balaji t.t. college,,,,
13300,kamineni institute of paramedical sciences,,,,
13301,sri ramakrishna college of education,,,,
13302,pravara gramin shikshan sanstha's pravara college of physical education,,,,
13303,beldanga d.h. senior madrasah,,,,
13304,dand seva mandals college of arts,,,,
13305,s. d. s. girls,,,,
13306,kle's arts & commerce college,,,,
13307,nizam institute of pharmacy,,,,
13308,s.d.g.s. degree college,,,,
13309,shahapur taluka education societys college of education shahapur dist thane,,,,
13310,sandesh arts college,,,,
13311,a.n.s. college,,,,
13312,institute of innovation in technology & management,,,,
13313,shri ramashrey jagdamba gramin mahavidyalaya,,,,
13314,avvaiyar govt. college for women,,,,
13315,govt. first grade college navalagund,,,,
13316,k.p.e.s. g.m. patil law college,,,,
13317,smt. narayani devi girls college,,,,
13318,cnk reddy college of pharmacy,,,,
13319,dr. jayapradamba degree college,,,,
13320,s r kanthi college of education,,,,
13321,arawali pg college,,,,
13322,puthimari college,,,,
13323,loyola-icam college of engineering and technology,,,,
13324,oxford college of pharmacy,,,,
13325,shri krishna instituteitute of medical and health sciences and research,,,,
13326,swami vivekanand institute of information & technology gorakhpur,,,,
13327,institute of rain & moist deciduous forest research,,,,
13328,agra vansthali mahavidyalaya,,,,
13329,pt. j.p. upadhyaya t.t. college,,,,
13330,kle college of pharmacy,,,,
13331,sri rajiv gandhi degree college,,,,
13332,i.i.m.t. instiute of teacher education p pocket,,,,
13333,smt. parmeshwari devi dhanraj khetan kanya mahavi.,,,,
13334,gurukul law college,,,,
13335,pachaiyappas college for women,,,,
13336,sau. mangaltai ramchandra jagtap mahila mahavidyalaya,,,,
13337,sanghvi institute of management & science rau,,,,
13338,r.l. college,,,,
13339,masterji institute of information technology,,,,
13340,kalpataru samskrit college,,,,
13341,ma. kashiram mahavidyalaya,,,,
13342,bharat vidya peeth college of education,,,,
13343,pacific college,,,,
13344,adhunik institute of productivity management and research,,,,
13345,shekh shahid mahila degree college,,,,
13346,army college of dental sciences,,,,
13347,morning star home science college,,,,
13348,veer abdul hamid smarak mahavidyalaya,,,,
13349,bonam venkata chalamaiah institute of technology and science,,,,
13350,annai veilankannis college of nursing,,,,
13351,759 shree h.n.shukla college of management studies,,,,
13352,sri gayadeen maurya mahavidyalaya,,,,
13353,l.b.t. college,,,,
13354,gyatri mahavidyalaya mudi jahagirpuri khandhavli,,,,
13355,national institute of public cooperation and child development,,,,
13356,srimati pakaua devi adarsh sanskrit mahavidyalaya,,,,
13357,pannai college of engineering and technology,,,,
13358,kewalramji college,,,,
13359,government o f k college,,,,
13360,shaktipith mahavidyalaya,,,,
13361,fisheries college and research institute,,,,
13362,vijay singh pathik institute of law bheel akbarpur,,,,
13363,dr. ram manohar lohia awadh university,,,,
13364,vivekanand college of commerce,,,,
13365,p.v ramreddy p.g college,,,,
13366,bageshwari shikshan sansthan degree college,,,,
13367,gokhale education societys shri s.p.kothari and smt. g.s.kothari institute of computer science and technology management,,,,
13368,visveswaraya college of education,,,,
13369,vindyavasini mahila mahavidyalaya,,,,
13370,potti sri ramulu telugu university,,,,
13371,shri satsangi saketdham `ram ashram` group of institutions,,,,
13372,disha institute of management and technology satya vihar,,,,
13373,aurora's college of education,,,,
13374,balaji institute of prof. studies,,,,
13375,h.i.m.t. college of pharmacy,,,,
13376,g.m.d.c. sponsored - manibhai valji ramani & manilal punjabhai ramani arts college & ratanshibhai khimjibhai khetani commerce college,,,,
13377,avk college for women,,,,
13378,maharana pratap college of nursing,,,,
13379,all saints p.g. college,,,,
13380,manohar lal mahavidyalaya,,,,
13381,cyber zone computer education,,,,
13382,morigaon college,,,,
13383,halakura college,,,,
13384,icit computer,,,,
13385,chaitanya degree & pg college,,,,
13386,smt.v.d.thacker college of education,,,,
13387,viswa bharathi college of engineering,,,,
13388,shri kalyan teachers training college,,,,
13389,r.k.d.f. institute of science & technology,,,,
13390,aligarh unani & ayurvedic medical college,,,,
13391,rajasthan college,,,,
13392,government dharmapuri medical college,,,,
13393,boston college,,,,
13394,arignar anna institute of science and technology,,,,
13395,br. nath pai shikshan sansthas br. nath pai college of b.sc. nursing,,,,
13396,shri v.j.solanki b.ed. college-kodinar,,,,
13397,school of basic & applied sciences,,,,
13398,p n s womens institute of technology,,,,
13399,jatindra rajendra mahavidyalaya,,,,
13400,susila college of education,,,,
13401,shri nkvm divyachetana bed college,,,,
13402,kamla prasad singh vidhi mahavidyalaya,,,,
13403,suguna college of engineering,,,,
13404,anna adarsh college for women,,,,
13405,purwanchal college,,,,
13406,m.e.s. training college,,,,
13407,oxford degree college,,,,
13408,appa institute of engineering & technology,,,,
13409,ku. munindra singh mahavidyalaya,,,,
13410,oxford college of engineering and management,,,,
13411,ppg business school,,,,
13412,veer kunwar degree college,,,,
13413,sashastra bahu arjun mahila mahavidyalaya,,,,
13414,govt. b.ed. college,,,,
13415,karve insititute of social service,,,,
13416,mnr degree college,,,,
13417,mhatama gandhi vidyamandirs institute of management and research,,,,
13418,shri swami vivekanand shikshan sanstha's,,,,
13419,bamra t.f.college,,,,
13420,sri karibandi subbarao memorial degree college,,,,
13421,smt. geeta bankar women's college of education,,,,
13422,cyber word computer education,,,,
13423,islamia college of law deoband,,,,
13424,sai sree degree college,,,,
13425,sri meenakshi government college for women,,,,
13426,kalindi college,,,,
13427,sreenidhi degree college,,,,
13428,m.b. veterinary college,,,,
13429,geeta institute of education,,,,
13430,ideal training college,,,,
13431,asian college of management,,,,
13432,disha college of i. t.,,,,
13433,tara vivek college,,,,
13434,shri krishna shiksha mahavidyalaya,,,,
13435,mohd. ali nazeer fatma mahavidyalaya,,,,
13436,adarsh sanskrit ayurveda mahavidyalaya,,,,
13437,dncvp's chetana institute of computer management & research,,,,
13438,sri venkateswara institute of science and technology,,,,
13439,n.d.m.v.p.samajs arts & commerce college,,,,
13440,wkdspm's dr.babasaheb ambedkar memorial college of law,,,,
13441,faculty of law,,,,
13442,shri punjab sindh kshetra sadhu mahavidyalaya,,,,
13443,vinayak pg college,,,,
13444,annai veilankanni s pharmacy college,,,,
13445,sitaram samarpan mahavidyalaya,,,,
13446,s s jain subodh p g college,,,,
13447,gondwana university,,,,
13448,sw. bhagwanti devi deg.coll. bhuska,,,,
13449,st. andrews college of education,,,,
13450,sundamata mahila shikshak prashikshan mahavidyalaya,,,,
13451,jss's bharatesh college of business administration,,,,
13452,poona blindmens associations h.v.desai eye hospital,,,,
13453,b278 indira priyadarshini college of education basavakalyani,,,,
13454,kaveripakkam college of arts and science college,,,,
13455,sanghvi institute of management and science,,,,
13456,hindusthan institute of technology,,,,
13457,little flower degree college,,,,
13458,dr. ulhas patil college of physiotherapy,,,,
13459,sree naryana guru college of commerce,,,,
13460,maharshi degree college,,,,
13461,taj computer centre,,,,
13462,the secretary mahatma education society,,,,
13463,sri ramanathan engineering college,,,,
13464,i.a.m.r. b.ed college 8,,,,
13465,montessori college of education,,,,
13466,sri ramakrishna degree college,,,,
13467,chhatrapati shahuji maharaj mahavidyalaya,,,,
13468,montessori siva sivani institute of science and technology college of engineering,,,,
13469,swami vivekanand college hatta,,,,
13470,ksub college of teacher education,,,,
13471,vichardhara pratisthan's rajiv gandhi arts & science college,,,,
13472,mitcon consultancy services ltd.,,,,
13473,vidya bhavan college for engineering technology,,,,
13474,sankalan mahavidhyalaya,,,,
13475,g.r.d. institute of management & technology,,,,
13476,parul arogya seva mandal ahmedabad physiotherapy college,,,,
13477,medical research centre of the bombay hospital,,,,
13478,d.k.m. college,,,,
13479,kalinga mahavidyalaya,,,,
13480,shri shyam mahila college,,,,
13481,s.k. mahila college,,,,
13482,raja doraisingam government arts college,,,,
13483,m.g.m.'s institute of bio-science,,,,
13484,moran commerce college,,,,
13485,ramakrishna mission blind boys academy,,,,
13486,anna university of technology madurai,,,,
13487,c k college of engineering & technology,,,,
13488,seth g.r. chamadiya sanskrit pg college,,,,
13489,mata misri devi d.a.v.college,,,,
13490,dayawanti punj training institute,,,,
13491,sant mathura singh mahavidyalaya,,,,
13492,cgc school of animation multimedia and technology,,,,
13493,shubham institute of nursing science & research center,,,,
13494,parasakthi college of education,,,,
13495,rural college,,,,
13496,acharya narendra dev college of pharmacy,,,,
13497,niveditha degree college,,,,
13498,sadguru swamy nithyananda institute of technology,,,,
13499,bhartiya gramin punarrachana sansthas arts commerce and science,,,,
13500,s.v. degree college,,,,
13501,munishwar sanskrit mahavidyalaya,,,,
13502,j.k. college of education,,,,
13503,brijlal prajapati institute of computer education kareli,,,,
13504,dr. b. r. ambedkar krishak mahavidyalaya,,,,
13505,r.b.s. mahavidyalaya,,,,
13506,mms arts & commerce college,,,,
13507,govt. j. thankima college,,,,
13508,bhagwant college of education bughwantpuram,,,,
13509,smt shobhatai bansod arts commerce and science college khedmakta,,,,
13510,account institute of professional studies,,,,
13511,h. a. college of commerce,,,,
13512,sama degree college,,,,
13513,guru gobind nath college of education,,,,
13514,rani tirumala devi degree college,,,,
13515,bindeshwari kanya mahavidyalaya,,,,
13516,mar athanasius college of egineering,,,,
13517,bharti t t college,,,,
13518,shree ganapati institute of educaiton & technology,,,,
13519,gomatesh vidyapeeth arts college belagavi,,,,
13520,meerut institute of engineering and technology,,,,
13521,sri sai institute of nursing science,,,,
13522,chandubhai s. patel institute of technology,,,,
13523,shadan educational society,,,,
13524,homi bhabha centre for science education,,,,
13525,arorvansh institute of computer,,,,
13526,nie science college nie campus vishveswaranagar,,,,
13527,anugraha institute of social sciences,,,,
13528,government arts and commerce college,,,,
13529,bhartiya gramin punarrachana sanstha's jivanvikas college of arts,,,,
13530,vivekanand kanya mahavidyalaya,,,,
13531,vivekanand education societys institute of technology,,,,
13532,d. y. patil education society,,,,
13533,sal institute of tech. & engg. research,,,,
13534,t. john college of nursing,,,,
13535,gramya bharati vidyapeeth,,,,
13536,chanakya degree college,,,,
13537,the ideal fine arts institute,,,,
13538,kavita madho mahavidyalaya,,,,
13539,vignan institute of technology and management,,,,
13540,mewar college of teachers training,,,,
13541,p.t.p.s. college,,,,
13542,arch academy of design,,,,
13543,p.s.g. college of paramedical sciences,,,,
13544,sri shivalingeshwara government first grade college,,,,
13545,v.s.s.d. p.g. college,,,,
13546,sjfg arts & science college,,,,
13547,himalayan college of education,,,,
13548,maniben nanavati women's college,,,,
13549,rajajinagar college of education,,,,
13550,parshuram verma smarak mahila mahavidyalaya,,,,
13551,hazaribag college of dental sciences & hospital,,,,
13552,"""shri ram college of pharmacy",,,,
13553,golaghat pubanchalik college. hatiyekhowa golaghat,,,,
13554,greater kolkata college of engineering and management,,,,
13555,v.p.m.m. college of nursing,,,,
13556,arya mahila post graduate college,,,,
13557,santaji college,,,,
13558,smt. nagarathanamma college of nursing,,,,
13559,the oxford dental college,,,,
13560,k r s college of management,,,,
13561,silver jubilee degree college,,,,
13562,srikrishna college,,,,
13563,sri ram college of comerse & education,,,,
13564,mahavir institute of management & tech. dehradun road,,,,
13565,maharaja nandakumar mahavidyalaya,,,,
13566,prithwi chand vigyan college,,,,
13567,vyavsay prashasan mahavidyalaya,,,,
13568,s.d. institute of technology & management,,,,
13569,government sanskrit pg college,,,,
13570,bhartiya vidya mandiar college of pharmacy,,,,
13571,shri saraswati teachers college of education,,,,
13572,gopi krishan piramal tt college,,,,
13573,baselios mathew ii college of engineering,,,,
13574,mata shanti devi memorial college of edu,,,,
13575,sindhu college,,,,
13576,visweswara science & arts degree college,,,,
13577,dhirajlal gandhi college of technology,,,,
13578,al-amen arts & science college,,,,
13579,shri. madhaorao wankhade sharirik shikshan mahavidyalaya,,,,
13580,intel institute of teacher training,,,,
13581,kangleipak medical & nursing institute,,,,
13582,sriganganagar college of pharmacy,,,,
13583,kongunadu college of engineering and technology,,,,
13584,koyili college of nursing,,,,
13585,nova degree college,,,,
13586,b. m. college,,,,
13587,gorakshpithadhishwer mahant awaidhnath mahavidyalay,,,,
13588,national college for women,,,,
13589,m.m. lata sanskrit vidyapeeth,,,,
13590,skt college of physical education,,,,
13591,m v shetty inst. mlt,,,,
13592,shri krishna madhav mahila mahavi.,,,,
13593,tagore college for education,,,,
13594,shri lbs kanya pg mahavi.,,,,
13595,al- ameen memorial minority college,,,,
13596,rajiv gandhi post graduate ayurvedic college,,,,
13597,track institute of professional studies,,,,
13598,k. d.college of engineering & technologyfor women,,,,
13599,sri ram meghe institute of pharmaceutical sciences and research,,,,
13600,lakshay college of hotel management,,,,
13601,nilamadhaba mahavidyalaya,,,,
13602,udaya pratap science college,,,,
13603,state. mohan homeo. medical college,,,,
13604,ram dulari bachchu lal jaiswal mahavidyalaya,,,,
13605,shri m h patel mahavidhyalaya samoda ganwada,,,,
13606,united college of engineering and management,,,,
13607,saraswati mahila mahavidyalaya,,,,
13608,thakur anant singh college of education,,,,
13609,anubis degree college,,,,
13610,girvani degree college chittoor urban,,,,
13611,rural college of business management,,,,
13612,d.m.college,,,,
13613,lalji degree college,,,,
13614,s.v.s. computers chhindwara,,,,
13615,sai computer & it,,,,
13616,pulipati college of nursing,,,,
13617,m. r. s. srikrishan parnam kanya mahavidyalaya,,,,
13618,ps&sss pankaj arts college,,,,
13619,shri ram girls college,,,,
13620,dr. sarojini naidu college of education,,,,
13621,swamy vivekanandha college of pharmacy,,,,
13622,vishwas degree college,,,,
13623,seventh day adventist reform movement,,,,
13624,baba hira singh bhattal institute of engg. & technology,,,,
13625,kharagpur tribal b.ed traning college,,,,
13626,a n college,,,,
13627,sinhgad technical education society's,,,,
13628,guru nanak ayurvedic medical college,,,,
13629,trident academy of technology,,,,
13630,santhigiri ayurveda medical college,,,,
13631,fatima college of education,,,,
13632,aisect computers,,,,
13633,svn college of nursing gayathrinagar bangalore,,,,
13634,m.k.m college of education for women,,,,
13635,kpm college,,,,
13636,mahalakshmi college of arts and science,,,,
13637,n.s.z. college of music and dance,,,,
13638,kanakadas shikshna samiti kss arts college,,,,
13639,durgapur women's college,,,,
13640,sitaram singh ramanand singh smarak mahavidyalaya,,,,
13641,shri shankar institute of education soceity's,,,,
13642,the banda navbharat shikshan prasarak mandal's,,,,
13643,shri shanti niketan sanskrit snatakottar mahavidyalaya,,,,
13644,gateway institute of engineering and technology,,,,
13645,bhausaheb patil college of education,,,,
13646,kp engineering college,,,,
13647,act computer education,,,,
13648,r.b. institute of technology,,,,
13649,shri h. k. commerce college,,,,
13650,k. k. shashtri government arts college,,,,
13651,govt. law college a.b.road,,,,
13652,viswam degree & pg college,,,,
13653,gurukula sanskrit college,,,,
13654,maharaja narendra singh degree college,,,,
13655,mjr college of educaiton,,,,
13656,sri t.v.venkataswamy first grade college,,,,
13657,wagar computer education banswara,,,,
13658,gem society's sonia gandhi college of education,,,,
13659,akole taluka education societys arts,,,,
13660,amarjyot med college,,,,
13661,swami vivekanand college of engineering,,,,
13662,anjuman khairul islam poonas institute of mannagement sciences and enterpreneurship,,,,
13663,debra thana sahid kshudiram smriti mahavidyalaya,,,,
13664,govt. mjs college,,,,
13665,gouthami degree college,,,,
13666,mithila institute of post graduate studies and research in sanskrit,,,,
13667,tvs teacher training academy,,,,
13668,shri anant smruti charitable trust,,,,
13669,geeta arya college of education,,,,
13670,st thomas college of arts and science,,,,
13671,godda college,,,,
13672,rajmata lalli kumari mahavidyalaya,,,,
13673,suraj college of it & mgt.,,,,
13674,prachya vidya peeth,,,,
13675,s.r.d. modi college for woman,,,,
13676,college of advance technology & science,,,,
13677,bartiya gramin punarrachnana sansth'a mumbai b.ed. college for women,,,,
13678,agia college,,,,
13679,govt. shaheed bhagat singh college,,,,
13680,karnataka arts and commerce college,,,,
13681,jawarharlal nehru architecture and fine art university hyderabad,,,,
13682,doom dooma college p.o. rupaisiding,,,,
13683,kces's post graduate college of science tech.& research,,,,
13684,dixit college of higher education,,,,
13685,rao sultan singh college of education,,,,
13686,our lady of grace trusts st.gonsalo garcia college of arts and commerce,,,,
13687,maharashtriya shikshan sanstha parag b.ed. college at post sadavali tal sangameshwar dist ratnagiri,,,,
13688,govt. t.c. l. college,,,,
13689,smt r.subhodramma vitthoba shetty arts college manvi,,,,
13690,p.b.n. college,,,,
13691,chaitanya institute of pharmaceutical sciences,,,,
13692,akula sree ramulu college of engineering,,,,
13693,gurukul computer institute,,,,
13694,regional institute of management and technology,,,,
13695,govt first grade degree college yadgir,,,,
13696,vishnu ayurveda college,,,,
13697,ganpati institute of pharmacy,,,,
13698,maharaja surajmal tt college,,,,
13699,crescent institute of management studies,,,,
13700,devi singh smarak mahavidyalya,,,,
13701,hadi rani teachers training college,,,,
13702,shri p.s. arts and commerce degree college,,,,
13703,mantram teachers training college,,,,
13704,patkai christian college,,,,
13705,manohar lal vidhi mahavidyalaya,,,,
13706,cordia institute of business management,,,,
13707,shri shivaji mahavidhyalaya barshi tal.barshi dist-solapur,,,,
13708,j.s.s. law college,,,,
13709,marwar institute of management,,,,
13710,centre for costal and marine biodiversity,,,,
13711,sri niketan arts commerce college,,,,
13712,eklavya vidhyapith mahavidyalya,,,,
13713,a.j. college of education,,,,
13714,shri arya mahavidyalaya,,,,
13715,y.m.t. homoeopathy college,,,,
13716,bhosale college of engineering & reasearch,,,,
13717,maharishi koutalya academy,,,,
13718,m.s. ramaiah college of law,,,,
13719,institute of nursing education bambolim,,,,
13720,brahaspati mahila mahavidyalaya,,,,
13721,fr. mullers medical college,,,,
13722,govt. college gurne khurd sangrur,,,,
13723,d.s.m's college of physical education,,,,
13724,sbdsm khalsa college domeli,,,,
13725,himalayan institutes of management sadhoura road,,,,
13726,belgaum institute of medical sciences,,,,
13727,basavareddy education societys basavareddy arts and commerce college,,,,
13728,dada dukhayal college of education,,,,
13729,vijaya engineering college,,,,
13730,rhytham institute of professional studies,,,,
13731,sri ashok college of education,,,,
13732,truba college of engg. & technology,,,,
13733,the west bengal university of health sciences,,,,
13734,doaba college jalandhar,,,,
13735,vidya vikas mandals h.m.n. gaunekar institute of management training & research shre damodar college complex margao,,,,
13736,lal bahadur shastri girls college of management,,,,
13737,sri lal bahadur shastri college of nursing,,,,
13738,kalyani roy mahavidyalaya,,,,
13739,ggdsd college rajpur,,,,
13740,veer teja mahila shikshan & shodh sansthan,,,,
13741,sri vidyadhiraja model college of teacher education,,,,
13742,panineeya institute of technology & science,,,,
13743,sic computer centre,,,,
13744,k.g.n degre college,,,,
13745,pt. poornanad govt. p g college,,,,
13746,haldia institute of health science,,,,
13747,florida college of management & computer science,,,,
13748,sh.baba mast nath engg.college,,,,
13749,shri viratapsvi channavir shivachary education college midc akklkot road solapur dist-solapur,,,,
13750,deva shikshaka prashikshana mahavidyala,,,,
13751,d.v.m degree college of commerce & science,,,,
13752,era's college of law,,,,
