,Institution Names,City,State,Score,Rank
328,rajasthan shiksha mahavidyala,,,,
329,st. anns institute of health sciences,,,,
330,chhatrapati shivaji college of education,,,,
331,narayan medical college & hospital,,,,
332,luqman unani medical college & hospital,,,,
333,jai bajarang physical education college,,,,
334,progati college,,,,
335,wws's bsw college,,,,
336,amarnath college of education,,,,
337,maharaja institute of management and technology,,,,
338,shri rlt instiute of management,,,,
339,vyasa nagar college,,,,
340,korba computer centre,,,,
341,kishore bharati bhagini nivedita college,,,,
342,harishchand mahavidyalaya,,,,
343,s.g.g.k. science & s.k.m.c. arts & commerce college,,,,
344,n.b. navale sinhagad college of engineering kegaon,,,,
345,k dr. haribhau adamne arts commerce college,,,,
346,siddhakala college of physiotherapy,,,,
347,bit insitute of technology,,,,
348,sami labs limited,,,,
349,iqbal college,,,,
350,mahendra institute of technology,,,,
351,kai. ramrao patil adhyapak mahavidyalaya,,,,
352,lokmanya tilak jankalayn shikshan sansthas lokmanya tilak college of engineering,,,,
353,waikhom mani girls' college,,,,
354,zakia afaque islamia college,,,,
355,pushpagiri institute of medical sciences and research centre,,,,
356,sri pulloji rao college of education,,,,
357,shefali mahavidyalaya,,,,
358,tirupati institute of education,,,,
359,sinhgad technical education societys sinhgad law college,,,,
360,pt.deendayal upadhyay rajkiya mahavidyalaya,,,,
361,st.christophers college of education,,,,
362,rushimal mahavidyalaya,,,,
363,shree swaminarayan gurukul college of education,,,,
364,b p marine academy ,,,,
365,bsspm's arts & science college,,,,
366,prestige institute of management & research,,,,
367,shri ram college of management and science basai,,,,
368,dr. ram manohar lohiya rajkiya mahavidyalaya,,,,
369,sanghamam college of arts and science,,,,
370,kristu jyoti college of management and technology,,,,
371,bhartimaiya college of optometry,,,,
372,rajadevi degree college,,,,
373,krishna institute of prof. studies,,,,
374,ssm college of teacher education,,,,
375,arya college of engg. & information technology,,,,
376,indraprasth institute of technology,,,,
377,gandhi academy of technology education,,,,
378,prakash college of education,,,,
